StateProvinceID,StateProvinceCode,StateProvinceName,SalesTerritory,CityID,CityName
40,PR,Puerto Rico (US Territory),External,58,Aceitunas
40,PR,Puerto Rico (US Territory),External,155,Adjuntas
40,PR,Puerto Rico (US Territory),External,207,Aguada
40,PR,Puerto Rico (US Territory),External,208,Aguadilla
40,PR,Puerto Rico (US Territory),External,210,Aguas Buenas
40,PR,Puerto Rico (US Territory),External,211,Aguas Claras
40,PR,Puerto Rico (US Territory),External,216,Aguilita
40,PR,Puerto Rico (US Territory),External,222,Aibonito
40,PR,Puerto Rico (US Territory),External,444,Alianza
40,PR,Puerto Rico (US Territory),External,790,Añasco
40,PR,Puerto Rico (US Territory),External,874,Animas
40,PR,Puerto Rico (US Territory),External,912,Anon Raices
40,PR,Puerto Rico (US Territory),External,958,Antón Ruíz
40,PR,Puerto Rico (US Territory),External,1107,Arecibo
40,PR,Puerto Rico (US Territory),External,1249,Arroyo
40,PR,Puerto Rico (US Territory),External,1755,Bairoa
40,PR,Puerto Rico (US Territory),External,1756,Bairoa La Vienticinco
40,PR,Puerto Rico (US Territory),External,1759,Bajadero
40,PR,Puerto Rico (US Territory),External,1760,Bajandas
40,PR,Puerto Rico (US Territory),External,1907,Barahona
40,PR,Puerto Rico (US Territory),External,1920,Barceloneta
40,PR,Puerto Rico (US Territory),External,1984,Barranquitas
40,PR,Puerto Rico (US Territory),External,2026,Bartolo
40,PR,Puerto Rico (US Territory),External,2162,Bayamón
40,PR,Puerto Rico (US Territory),External,2646,Benítez
40,PR,Puerto Rico (US Territory),External,2835,Betances
40,PR,Puerto Rico (US Territory),External,3587,Boquerón
40,PR,Puerto Rico (US Territory),External,3940,Breñas
40,PR,Puerto Rico (US Territory),External,4500,Buena Vista
40,PR,Puerto Rico (US Territory),External,4510,Búfalo
40,PR,Puerto Rico (US Territory),External,4827,Cabán
40,PR,Puerto Rico (US Territory),External,4833,Cabo Rojo
40,PR,Puerto Rico (US Territory),External,4839,Cacao
40,PR,Puerto Rico (US Territory),External,4866,Caguas
40,PR,Puerto Rico (US Territory),External,4988,Calzada
40,PR,Puerto Rico (US Territory),External,5085,Campanilla
40,PR,Puerto Rico (US Territory),External,5111,Campo Rico
